Month,Day,Console
February,25,Steam Deck[104]
March,25,A500 Mini[105]
April,18,Playdate[106]
July,28,Astro City Mini V[107]
October,27,Sega Genesis Mini 2[108]
November,24,Evercade EXP[109]
