Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
J A N U A R Y,27,Rugby 22,"Win, NS, PS4, PS5, XBO, XSX",Sports,Eko Software,Nacon,[160]
J A N U A R Y,27,Taiko no Tatsujin: The Drum Master!,"Win, XBO, XSX",Rhythm,Bandai Namco Studios,Bandai Namco Entertainment,[161]
J A N U A R Y,27,Yu-Gi-Oh! Master Duel,"iOS, Droid","Digital collectible card game, strategy",Konami,Konami,[162]
J A N U A R Y,28,Pokémon Legends: Arceus,NS,Action role-playing,Game Freak,"The Pokémon Company, Nintendo",[163]
J A N U A R Y,28,Record of Lodoss War: Deedlit in Wonder Labyrinth[a],NS,"Action role-playing, metroidvania","Team Ladybug, WSS Playground","Playism, WSS Playground",[164]
J A N U A R Y,28,Uncharted: Legacy of Thieves Collection,PS5,Action-adventure,Naughty Dog,PlayStation PC,[165]
F E B R U A R Y,1,Life Is Strange Remastered Collection,"Win, PS4, XBO, Stadia",Adventure,"Dontnod Entertainment, Deck Nine",Square Enix,[166]
F E B R U A R Y,1,MotoGP 21,Stadia,Racing,Milestone srl,Milestone srl,[167]
F E B R U A R Y,2,The Waylanders,Win,Role-playing,Gato Studio,Gato Studio,[168]
F E B R U A R Y,2,Webbed,"NS, PS4, XBO",Puzzle-platform,Sbug Games,Sbug Games,[169]
F E B R U A R Y,3,Genkai Tokki: Seven Pirates H[c],NS,Role-playing,Felistella,Compile Heart,[170]
F E B R U A R Y,3,Sherlock Holmes: Crimes & Punishments,NS,Adventure,Frogwares,Frogwares,[171]
F E B R U A R Y,3,Yu-Gi-Oh! Master Duel[a],"iOS, Droid","Digital collectible card game, strategy",Konami,Konami,[172]
F E B R U A R Y,3,Ziggurat 2,"PS4, PS5","Roguelite, first-person shooter",Milkstone Studios,Milkstone Studios,[173]
F E B R U A R Y,4,Dying Light 2 Stay Human,"Win, NS, PS4, PS5, XBO, XSX","Action role-playing, survival horror",Techland,Techland,[174]
F E B R U A R Y,4,Maglam Lord[a],"NS, PS4",Action role-playing,Felistella,PQube,[175]
F E B R U A R Y,7,Ziggurat 2,NS,"Roguelite, first-person shooter",Milkstone Studios,Milkstone Studios,[173]
F E B R U A R Y,8,Death End Request 2[a][b],NS,"Role-playing, visual novel",Compile Heart,Idea Factory,[176]
F E B R U A R Y,8,OlliOlli World,"Win, NS, PS4, PS5, XBO, XSX",Sports,Roll7,Private Division,[177]
F E B R U A R Y,8,Sifu,"Win, PS4, PS5",Beat 'em up,Sloclap,Sloclap,[178]
F E B R U A R Y,9,Backbone,NS,Noir adventure,EggNut,Raw Fury,[179]
F E B R U A R Y,9,Cotton Guardian Force Saturn Tribute,Win,Shoot 'em up,City Connection,City Connection,[180]
F E B R U A R Y,9,Getsu Fūma Den: Undying Moon,NS,"Hack and slash, roguelite","GuruGuru, Konami",Konami,[181]
F E B R U A R Y,9,Unbound: Worlds Apart,"PS4, PS5",Puzzle platformer,Alien Pixel Studios,Alien Pixel Studios,[182]
F E B R U A R Y,10,Breakout: Recharged,"Win, Mac, Lin, NS, PS4, PS5, XBO, XSX, Atari VCS","Action, arcade","Adamvision Studios, SneakyBox",Atari,[183]
F E B R U A R Y,10,CrossfireX,"XBO, XSX",First-person shooter,"Remedy Entertainment, Smilegate",Smilegate,[184]
F E B R U A R Y,10,Edge of Eternity,"PS4, PS5, XBO, XSX",Role-playing,Midgar Studio,Dear Villagers,[185]
F E B R U A R Y,10,Heaven Burns Red[c],"iOS, Droid",Role-playing,"Key, WFS","Key, WFS",[186]
F E B R U A R Y,10,Kingdom Hearts Integrum Masterpiece for Cloud,NS,Action role-playing,Square Enix,Square Enix,[187]
F E B R U A R Y,10,My Hero: Ultra Impact,"iOS, Droid",Action role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment,[188]
F E B R U A R Y,10,Pajama Sam 2: Thunder and Lightning Aren't so Frightening,NS,Adventure,Humongous Entertainment,UFO Interactive Games,[189]
F E B R U A R Y,10,Pajama Sam: No Need to Hide When It's Dark Outside,NS,Adventure,Humongous Entertainment,UFO Interactive Games,[189]
F E B R U A R Y,10,PowerSlave: Exhumed,"Win, NS, PS4, XBO",First-person shooter,"Nightdive Studios, Lobotomy Software","Nightdive Studios, Throwback Entertainment",[190]
F E B R U A R Y,10,Putt-Putt Saves the Zoo,NS,Adventure,Humongous Entertainment,UFO Interactive Games,[189]
F E B R U A R Y,10,"Spy Fox in ""Dry Cereal""",NS,Adventure,Humongous Entertainment,UFO Interactive Games,[189]
F E B R U A R Y,11,Death End Request 2[d],NS,"Role-playing, visual novel",Compile Heart,Idea Factory,[176]
F E B R U A R Y,11,Lost Ark[a],Win,Massively multiplayer online role-playing,Smilegate,Amazon Games,[191]
F E B R U A R Y,11,Oddworld: Stranger's Wrath HD,"PS4, XBO",Action-adventure,Just Add Water,Just Add Water,[192]
F E B R U A R Y,11,Unbound: Worlds Apart,"XBO, XSX",Puzzle platformer,Alien Pixel Studios,Alien Pixel Studios,[182]
F E B R U A R Y,11,Ziggurat 2,"XBO, XSX","Roguelite, first-person shooter",Milkstone Studios,Milkstone Studios,[173]
F E B R U A R Y,14,Heart of the Woods,"PS4, PS5",Visual novel,"Studio Élan, Ratalaika Games",Sekai Games,[193]
F E B R U A R Y,14,Infernax,"Win, NS, PS4, XBO, XSX",Action-adventure,Berzerk Studio,The Arcade Crew,[194]
F E B R U A R Y,14,River City Girls Zero,NS,Beat 'em up,WayForward,Arc System Works,[195]
F E B R U A R Y,15,Cyberpunk 2077,"PS5, XSX",Action role-playing,CD Projekt Red,CD Projekt,[196]
F E B R U A R Y,15,Dynasty Warriors 9: Empires[a],"Win, NS, PS4, PS5, XBO, XSX, Stadia",Hack and slash,Omega Force,Koei Tecmo,[197]
F E B R U A R Y,15,Shadow Madness,Win,Role-playing,Crave,"Piko Interactive, Bleem!",[198]
F E B R U A R Y,15,Star Wars: The Old Republic: Legacy of the Sith,Win,Massively multiplayer online role-playing,BioWare Austin,Electronic Arts,[199]
F E B R U A R Y,17,Assassin's Creed: The Ezio Collection,NS,Action-adventure,Virtuos,Ubisoft,[200]
F E B R U A R Y,17,Getsu Fūma Den: Undying Moon,Win,"Hack and slash, roguelite","GuruGuru, Konami",Konami,[181]
F E B R U A R Y,17,The King of Fighters XV,"Win, PS4, PS5, XSX",Fighting,SNK,SNK,[201]
F E B R U A R Y,17,Touken Ranbu Warriors[c],"Win, NS",Hack and slash,"Omega Force, Ruby Party",DMM Games,[202]
F E B R U A R Y,17,Total War: Warhammer III,"Win, Mac, Lin",Real-time strategy,Creative Assembly,Sega,[203]
F E B R U A R Y,17,Voice of Cards: The Forsaken Maiden,"Win, NS, PS4",Role-playing,Alim,Square Enix,[204]
F E B R U A R Y,18,Horizon Forbidden West,"PS4, PS5",Action role-playing,Guerrilla Games,Sony Interactive Entertainment,[205]
F E B R U A R Y,19,Puzzle & Dragons Nintendo Switch Edition,NS,"Puzzle, role-playing",GungHo Online Entertainment,GungHo Online Entertainment,[206]
F E B R U A R Y,22,Destiny 2: The Witch Queen,"Win, PS4, PS5, XBO, XSX, Stadia",First-person shooter,Bungie,Bungie,[207]
F E B R U A R Y,22,Monark[a][b],"Win, NS, PS4, PS5",Role-playing,Lancarse,NIS America,[208]
F E B R U A R Y,22,Monster Crown,"PS4, XBO",Role-playing,Aurum,Soedesco,[209]
F E B R U A R Y,22,Sol Cresta,"Win, NS, PS4",Shoot 'em up,PlatinumGames,PlatinumGames,[210]
F E B R U A R Y,23,Edge of Eternity,NS,Role-playing,Midgar Studio,Dear Villagers,[185]
F E B R U A R Y,23,Final Fantasy VI Pixel Remaster,"Win, iOS, Droid",Role-playing,Square Enix,Square Enix,[211]
F E B R U A R Y,23,Sam & Max: This Time It's Virtual!,PS4,Adventure,HappyGiant,Big Sugar,[212]
F E B R U A R Y,24,Atelier Sophie 2: The Alchemist of the Mysterious Dream[c],"Win, NS, PS4",Role-playing,Gust Co. Ltd.,Koei Tecmo,[213]
F E B R U A R Y,24,Assetto Corsa Competizione,"PS5, XSX",Racing,Kunos Simulazioni,505 Games,[214]
F E B R U A R Y,24,Chaos;Child[c],NS,Visual novel,Mages,Mages,[215]
F E B R U A R Y,24,Chaos;Head Noah[c],NS,Visual novel,Mages,Mages,[215]
F E B R U A R Y,24,Crystar[c],NS,Action role-playing,Gemdrops,FuRyu,[216]
F E B R U A R Y,24,Dusk Diver 2,"Win, NS,[c] PS4[c]","Action role-playing, hack and slash",WANIN Games,Justdan International,[217]
F E B R U A R Y,24,Edens Zero: Pocket Galaxy,"iOS, Droid","Role-playing, hack and slash",Konami,Konami,[218]
F E B R U A R Y,24,Martha is Dead,"Win, PS4, PS5, XBO, XSX",Psychological horror,LKA,Wired Productions,[219]
F E B R U A R Y,24,Never Alone: Arctic Edition,NS,Puzzle-platform,Upper One Games,E-line Media,[220]
F E B R U A R Y,24,Raiden IV x MIKADO remix[c],"PS4, PS5",Shoot 'em up,MOSS,MOSS,[221]
F E B R U A R Y,24,Roguebook,"PS4, PS5, XBO, XSX","Roguelike, deck-building",Abrakam Entertainment,Nacon,[222]
F E B R U A R Y,24,Taito Milestones[c],NS,Arcade,Hamster Corporation,Taito,[223]
F E B R U A R Y,25,Atelier Sophie 2: The Alchemist of the Mysterious Dream[a],"Win, NS, PS4",Role-playing,Gust Co. Ltd.,Koei Tecmo,[213]
