Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
A P R I L,28,Parkasaurus,NS,Simulation,Washbear Studio,Washbear Studio,[350]
A P R I L,28,Rogue Legacy 2,"Win, XBO, XSX",Platform,Cellar Door Games,Cellar Door Games,[351]
A P R I L,28,Sherlock Holmes Chapter One,PS4,Action-adventure,Frogwares,Frogwares,[352]
A P R I L,28,The House of the Dead: Remake,"Win, PS4, XBO, Stadia",Action,MegaPixel Studio,Forever Entertainment,[353]
A P R I L,29,Deadly Dozen Reloaded,Win,Action,nFusion Interactive,Ziggurat Interactive,[354]
A P R I L,29,Nintendo Switch Sports,NS,Sports,Nintendo EPD,Nintendo,[200]
A P R I L,29,Ravenous Devils,"Win, NS, PS4, PS5, XBO, XSX",Horror,Bad Vices Games,"Bad Vices Games, Troglobytes Games",[355]
A P R I L,29,Space Warlord Organ Trading Simulator,NS,Simulation,Strange Scaffold,Strange Scaffold,[356]
M A Y,1,Lumote: The Mastermote Chronicles,Stadia,Puzzle,Wired Productions,Wired Productions,[357]
M A Y,2,Takkoman: Kouzatsu World[a],Win,Bullet hell,illuCalab,Playism,[358]
M A Y,3,Dungeon Defenders: Awakened,PS4,Action role-playing,Chromatic Games,Chromatic Games,[359]
M A Y,3,Loot River,"Win, XBO, XSX","Action, roguelite",straka.studio,straka.studio,[360]
M A Y,4,Wildcat Gun Machine,"Win, NS, PS4, XBO",Bullet hell,Chunkybox Games,Daedalic Entertainment,[361]
M A Y,5,Citizen Sleeper,"Win, Mac, NS, XBO, XSX",Role-playing,Jump Over the Age,Fellow Traveller,[362]
M A Y,5,Overcooked: All You Can Eat Edition,Stadia,Simulation,Team17,Team17,[363]
M A Y,5,Poppy Playtime: Chapter Two,"Win, iOS, Droid",Survival,MOB Games,MOB Games,[364]
M A Y,5,RiffTrax: The Game,"Win, Mac, NS, PS4, XBO",Party,Wide Right Interactive,Wide Right Interactive,[365]
M A Y,5,Trek to Yomi,"Win, PS4, PS5, XBO, XSX",Action-adventure,Flying Wild Hog,Devolver Digital,[366]
