Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
J U N E,23,9-Nine[c],"NS, PS4",Visual novel,Palette,Palette,[512]
J U N E,23,Aiyoku no Eustia[c],"NS, PS4",Visual novel,August,Entergram,[513]
J U N E,23,Blade Runner: Enhanced Edition,"Win, NS, PS4, XBO",Role-playing,Nightdive Studios,Nightdive Studios,[514]
J U N E,23,Deathsmiles I & II,Win,Action,Zerodiv,City Connection,[515]
J U N E,23,Deliver Us the Moon,"PS5, XSX",Adventure,KeokeN Interactive,Wired Productions,[516]
J U N E,23,Disney Mirrorverse,"iOS, Droid",Action role-playing,Kabam,Kabam,[517]
J U N E,23,Elysion: Feeling of Release[c],NS,Visual novel,Utp,Utp,[518]
J U N E,23,Hatsune Miku Jigsaw Puzzle,"Win, XBO",Puzzle,Crypton Future Media,Crypton Future Media,[267]
J U N E,23,Inscryption,"Mac, Lin",Roguelike,Daniel Mullins Games,Devolver Digital,[519]
J U N E,23,Japanese Rail Sim: Journey to Kyoto,Win,Simulation,Sonic Powered,Sonic Powered,[520]
J U N E,23,Naraka: Bladepoint,XSX,Action-adventure,"24 Entertainment, Thunder Fire Universe X Studio",NetEase Games,[521]
J U N E,23,Sonic Origins,"Win, NS, PS4, PS5, XBO, XSX",Platform,Sonic Team,Sega,[522]
J U N E,23,The Caligula Effect 2,Win,Role-playing,"historia, FuRyu",historia,[523]
J U N E,24,AI: The Somnium Files – Nirvana Initiative[b],"Win, NS, PS4, XBO",Adventure,Spike Chunsoft,Spike Chunsoft,[524]
J U N E,24,Air Twister,iOS,Action,YS Net,YS Net,[525]
J U N E,24,Capcom Fighting Collection,"Win, NS, PS4, XBO",Fighting,Capcom,Capcom,[526]
J U N E,24,Fire Emblem Warriors: Three Hopes,NS,Hack and slash,Omega Force,Nintendo,[200]
J U N E,24,Omori[b],PS4,Role-playing,Omocat LLC,Playism,[503]
J U N E,24,Pocky & Rocky Reshrined[a],"NS, PS4",Action,Natsume-Atari,Natsume,[527]
J U N E,28,Birushana: Rising Flower of Genpei[a][b],NS,Visual novel,Idea Factory,Idea Factory,[528]
J U N E,28,Disgaea 6 Complete[a],"Win, PS4, PS5",Tactical role-playing,Nippon Ichi Software,NIS America,[491]
J U N E,28,DNF Duel,"Win, PS4, PS5",Fighting,"Neople, Eighting, Arc System Works",Nexon,[529]
J U N E,28,Fobia - St. Dinfna Hotel,"Win, PS4, PS5, XBO, XSX",Survival,Pulsatrix Studios,Maximum Games,[530]
J U N E,28,Little Noah: Scion of Paradise,"Win, NS, PS4",Roguelike,"Cygames, Grounding Inc.",Cygames,[531]
J U N E,28,MX vs. ATV Legends,"Win, PS4, PS5, XBO, XSX",Racing,Rainbow Studios,THQ Nordic,[532]
J U N E,28,My Little Pony: A Maretime Bay Adventure,Stadia,Adventure,Casual Brothers,Outright Games Ltd.,[533]
J U N E,28,Portal: Companion Collection,NS,Puzzle,Valve,Valve,[531]
J U N E,29,Azure Striker Gunvolt,"XBO, XSX",Action,Inti Creates,Inti Creates,[534]
J U N E,29,The Legend of Bum-bo,"NS, PS5, XSX",Roguelike,"Edmund McMillen, James Interactive, Ridiculon",Nicalis,[535]
J U N E,30,Cuphead: The Delicious Last Course,"Win, Mac, NS, PS4, XBO",Action,Studio MDHR,Studio MDHR,[494]
J U N E,30,EVE ghost enemies[c],"NS, PS4",Visual novel,El Dia,El Dia,[536]
J U N E,30,The Galactic Junkers,"Win, NS, PS4, XBO",Action-adventure,Evil Twin Artworks,Green Man Gaming Publishing,[537]
J U N E,30,Ground Divers,NS,Action,Studio Tsuruhashi,Arc System Works,[538]
J U N E,30,Hourglass,"NS, PS4, PS5, XBO, XSX",Puzzle,Cyberwave,Secret Item Games,[539]
J U N E,30,Infinity Souls[c],"iOS, Droid",Role-playing,"Clover Lab, Seven Arcs",Aniplex,[540]
J U N E,30,The Jackbox Party Starter,"Win, Mac, Lin, NS, PS4, PS5, XBO, XSX",Party,Jackbox Games,Jackbox Games,[541]
J U N E,30,Monster Hunter Rise: Sunbreak,"Win, NS",Action role-playing,Capcom,Capcom,[542]
J U N E,30,Of Bird and Cage,"PS4, XBO",Music,Capricia Productions,All in! Games,[543]
J U N E,30,Outriders Worldslayer,"Win, PS4, PS5, XBO, XSX, Stadia",Third-person shooter,People Can Fly,Square Enix,[494]
J U N E,30,Psikyo Shooting Stars Alpha[c],PS4,Action,Zerodiv,City Connection,[544]
J U N E,30,Rabbids: Party of Legends[a],"Win, NS, PS4, XBO, Stadia",Party,Ubisoft Chengdu,Ubisoft,[545]
J U N E,30,void tRrLM2(); //Void Terrarium 2[c],"NS, PS4",Roguelike,Nippon Ichi Software,Nippon Ichi Software,[546]
